pre_state,action,reward,state
2.18045 0.705051 0 0,0.999801 0.928197 0.947468 0.989752,-100.087,2.18046 0.705053 -9.72364e-05 0.013402
2.18046 0.705053 -9.72364e-05 0.013402,1.00633 0.957723 0.974606 1.01689,-100.088,2.18048 0.705057 -0.000483827 0.0270981
2.18048 0.705057 -0.000483827 0.0270981,1.018 0.953293 0.98632 1.00236,-100.09,2.18051 0.705063 -0.00105354 0.0407503
2.18051 0.705063 -0.00105354 0.0407503,1.00473 0.931597 0.970527 0.974942,-100.093,2.18056 0.705071 -0.00171931 0.0540328
2.18056 0.705071 -0.00171931 0.0540328,1.01769 0.962917 0.950414 0.958476,-100.097,2.18061 0.70508 -0.00162855 0.0672077
2.18061 0.70508 -0.00162855 0.0672077,1.00987 0.963592 0.953975 0.970151,-100.102,2.18068 0.705092 -0.00101761 0.0802403
2.18068 0.705092 -0.00101761 0.0802403,1.01131 0.99067 0.947799 0.954149,-100.107,2.18076 0.705105 0.000647735 0.0930901
2.18076 0.705105 0.000647735 0.0930901,1.01277 0.981481 0.954291 0.948063,-100.113,2.18084 0.70512 0.00327942 0.105677
2.18084 0.70512 0.00327942 0.105677,1.02208 1.01762 0.941199 0.915529,-100.12,2.18094 0.705137 0.0078338 0.117996
2.18094 0.705137 0.0078338 0.117996,1.01167 1.03722 0.950113 0.924212,-100.127,2.18105 0.705157 0.0142094 0.130115
2.18105 0.705157 0.0142094 0.130115,1.0121 1.0132 0.962841 0.959577,-100.136,2.18116 0.705178 0.0216319 0.141998
2.18116 0.705178 0.0216319 0.141998,0.980249 1.03419 0.964736 0.987042,-100.145,2.18128 0.705201 0.0296638 0.1536
2.18128 0.705201 0.0296638 0.1536,0.976201 1.0295 1.00063 0.996756,-100.155,2.18142 0.705226 0.0377234 0.164965
2.18142 0.705226 0.0377234 0.164965,0.935961 1.0207 1.0277 1.02163,-100.165,2.18156 0.705253 0.0447453 0.175954
2.18156 0.705253 0.0447453 0.175954,0.949735 1.02314 1.00786 1.05215,-100.177,2.1817 0.705282 0.0508027 0.186636
2.1817 0.705282 0.0508027 0.186636,0.920119 1.01423 1.01427 1.04854,-100.189,2.18186 0.705313 0.0554716 0.196782
2.18186 0.705313 0.0554716 0.196782,0.942443 0.996786 0.997556 1.03275,-100.202,2.18202 0.705346 0.0591599 0.206417
2.18202 0.705346 0.0591599 0.206417,0.947385 1.00261 0.966739 1.01658,-100.215,2.18218 0.70538 0.0624843 0.215512
2.18218 0.70538 0.0624843 0.215512,0.945419 1.0139 0.961786 1.0402,-100.23,2.18236 0.705416 0.0653485 0.224295
2.18236 0.705416 0.0653485 0.224295,0.98442 1.01912 0.951531 1.09111,-100.244,2.18254 0.705454 0.0677928 0.232961
2.18254 0.705454 0.0677928 0.232961,0.982426 1.04817 0.974281 1.09921,-100.26,2.18272 0.705493 0.0697793 0.241405
2.18272 0.705493 0.0697793 0.241405,1.00448 1.05735 0.986866 1.11577,-100.276,2.18291 0.705534 0.0713319 0.249631
2.18291 0.705534 0.0713319 0.249631,1.02245 1.05196 0.984712 1.14223,-100.292,2.18311 0.705576 0.0723283 0.257554
2.18311 0.705576 0.0723283 0.257554,1.02754 1.03173 0.988284 1.14513,-100.31,2.18331 0.705619 0.0725421 0.265019
2.18331 0.705619 0.0725421 0.265019,1.01753 1.02242 0.958578 1.15135,-100.327,2.18352 0.705664 0.072018 0.271919
2.18352 0.705664 0.072018 0.271919,1.03033 1.03573 0.949262 1.12542,-100.345,2.18373 0.70571 0.0714033 0.278393
2.18373 0.70571 0.0714033 0.278393,1.02988 1.06944 0.946772 1.13938,-100.364,2.18394 0.705757 0.0709278 0.284642
2.18394 0.705757 0.0709278 0.284642,1.0225 1.08093 0.966979 1.13874,-100.383,2.18416 0.705804 0.0704285 0.290598
2.18416 0.705804 0.0704285 0.290598,1.04051 1.0823 0.971095 1.13612,-100.402,2.18439 0.705854 0.0700938 0.296261
2.18439 0.705854 0.0700938 0.296261,1.02345 1.13433 0.99153 1.13474,-100.422,2.18461 0.705904 0.0700914 0.301757
2.18461 0.705904 0.0700914 0.301757,1.01686 1.10333 0.978251 1.14179,-100.442,2.18484 0.705955 0.0700905 0.306751
2.18484 0.705955 0.0700905 0.306751,1.03446 1.05497 0.9696 1.15762,-100.463,2.18508 0.706006 0.0696913 0.311339
2.18508 0.706006 0.0696913 0.311339,1.03613 1.05547 0.976756 1.14968,-100.483,2.18531 0.706059 0.0689249 0.315629
2.18531 0.706059 0.0689249 0.315629,1.06456 1.0604 0.975233 1.16748,-100.505,2.18555 0.706112 0.0679719 0.319805
2.18555 0.706112 0.0679719 0.319805,1.0531 1.04613 0.976446 1.15093,-100.526,2.1858 0.706166 0.0667229 0.323555
2.1858 0.706166 0.0667229 0.323555,1.06648 1.0141 0.996269 1.14763,-100.547,2.18604 0.706221 0.0648079 0.327041
2.18604 0.706221 0.0648079 0.327041,1.03246 0.975207 1.00254 1.14942,-100.569,2.18629 0.706276 0.0613749 0.33006
2.18629 0.706276 0.0613749 0.33006,1.02732 0.990145 0.9741 1.16206,-100.591,2.18654 0.706331 0.0567014 0.332847
2.18654 0.706331 0.0567014 0.332847,1.03149 1.0156 0.991341 1.19522,-100.613,2.18679 0.706386 0.0505778 0.335714
2.18679 0.706386 0.0505778 0.335714,1.01624 1.00979 0.98942 1.25118,-100.635,2.18705 0.706441 0.0422267 0.338492
2.18705 0.706441 0.0422267 0.338492,1.0475 0.986068 1.0255 1.28167,-100.657,2.18731 0.706496 0.0310557 0.341326
2.18731 0.706496 0.0310557 0.341326,1.07905 0.987436 1.01534 1.29298,-100.678,2.18758 0.706551 0.0174511 0.344074
2.18758 0.706551 0.0174511 0.344074,1.09064 0.995813 1.02887 1.28965,-100.7,2.18785 0.706605 0.00157183 0.346725
2.18785 0.706605 0.00157183 0.346725,1.0747 0.986013 1.05679 1.32379,-100.721,2.18812 0.706658 -0.0174454 0.349306
2.18812 0.706658 -0.0174454 0.349306,1.0695 0.993426 1.01671 1.35874,-100.742,2.18841 0.706711 -0.0394212 0.351686
2.18841 0.706711 -0.0394212 0.351686,1.05985 0.97945 1.03285 1.36299,-100.762,2.18869 0.706762 -0.0647071 0.353877
2.18869 0.706762 -0.0647071 0.353877,1.13039 0.968475 1.00472 1.3798,-100.782,2.18899 0.706811 -0.0924099 0.356071
2.18899 0.706811 -0.0924099 0.356071,1.16703 0.989763 1.01061 1.36767,-100.801,2.18929 0.706858 -0.121734 0.358277
2.18929 0.706858 -0.121734 0.358277,1.17342 0.996777 1.01478 1.39376,-100.819,2.1896 0.706904 -0.152771 0.360467
2.1896 0.706904 -0.152771 0.360467,1.16506 1.0161 1.0282 1.3902,-100.836,2.18992 0.706947 -0.185413 0.362561
2.18992 0.706947 -0.185413 0.362561,1.17676 1.02476 1.00444 1.39817,-100.852,2.19024 0.706988 -0.219184 0.36451
2.19024 0.706988 -0.219184 0.36451,1.17547 1.03395 1.02328 1.40944,-100.867,2.19057 0.707026 -0.254249 0.36644
2.19057 0.707026 -0.254249 0.36644,1.19649 1.02903 1.0526 1.40219,-100.882,2.19091 0.707062 -0.290587 0.368351
2.19091 0.707062 -0.290587 0.368351,1.2113 1.01721 1.02871 1.38639,-100.895,2.19126 0.707095 -0.327664 0.369985
2.19126 0.707095 -0.327664 0.369985,1.21413 1.01192 1.03894 1.39594,-100.907,2.19161 0.707125 -0.365664 0.371551
